	Problem	Status	Success rate	Average Run Time (ms)	Average Memory Usage (bytes)
141	merge_k_lists (open-mistral-nemo)	Success 🟢	5/5	59.743	183.8
142	merge_k_lists (codestral-latest)	Success 🟢	5/5	58.676	183.8
143	first_missing_positive (Leetcode)	Success 🟢	5/5	60.238	123.0
144	first_missing_positive (gpt-3.5-turbo)	Success 🟢	5/5	71.604	123.0
145	first_missing_positive (gpt-4o-mini)	Success 🟢	5/5	54.501	123.0
146	first_missing_positive (o3-mini)	Success 🟢	5/5	51.376	123.0
147	first_missing_positive (claude-3-haiku-20240307)	Success 🟢	5/5	52.352	123.0
148	first_missing_positive (claude-3-5-sonnet-20241022)	Success 🟢	5/5	53.72	123.0
149	first_missing_positive (claude-3-7-sonnet-20250219)	Success 🟢	5/5	55.368	123.0
150	first_missing_positive (gemini-1.5-flash)	Success 🟢	5/5	52.004	123.0
151	first_missing_positive (mistral-large-latest)	Success 🟢	5/5	54.534	123.0
152	first_missing_positive (open-mistral-nemo)	Success 🟢	5/5	49.975	123.0
153	first_missing_positive (codestral-latest)	Success 🟢	5/5	50.089	123.0
154	trapping_rain_water (Leetcode)	Success 🟢	5/5	50.926	133.2
155	trapping_rain_water (gpt-3.5-turbo)	Success 🟢	5/5	55.762	133.2
156	trapping_rain_water (gpt-4o-mini)	Success 🟢	5/5	58.888	133.2
157	trapping_rain_water (o3-mini)	Success 🟢	5/5	59.551	133.2
158	trapping_rain_water (claude-3-haiku-20240307)	Success 🟢	5/5	51.503	133.2
159	trapping_rain_water (claude-3-5-sonnet-20241022)	Success 🟢	5/5	59.076	133.2
160	trapping_rain_water (claude-3-7-sonnet-20250219)	Success 🟢	5/5	58.185	133.2
161	trapping_rain_water (gemini-1.5-flash)	Success 🟢	5/5	53.532	133.2
162	trapping_rain_water (mistral-large-latest)	Success 🟢	5/5	53.33	133.2
163	trapping_rain_water (open-mistral-nemo)	Success 🟢	5/5	55.949	133.2
164	trapping_rain_water (codestral-latest)	Success 🟢	5/5	62.263	133.2
